1738589922.5282297, [69, 38, 23]
1738589922.5615792, [65, 32, 21]
1738589922.5949278, [71, 37, 23]
1738589922.6282773, [67, 33, 22]
1738589922.6616256, [67, 35, 23]
1738589922.6949754, [72, 40, 26]
1738589922.728324, [70, 33, 23]
1738589922.761674, [70, 35, 24]
1738589922.7950225, [72, 38, 24]
1738589922.8283722, [73, 39, 26]
1738589922.861721, [68, 36, 24]
1738589922.8950708, [76, 41, 28]
1738589922.9617696, [68, 36, 24]
1738589922.9951186, [76, 39, 27]
1738589923.0284686, [71, 37, 23]
1738589923.0618176, [68, 36, 26]
1738589923.0951676, [75, 38, 26]
1738589923.128517, [72, 37, 26]
1738589923.161867, [67, 35, 21]
1738589923.1952162, [70, 36, 22]
1738589923.2285664, [76, 41, 28]
1738589923.2619157, [73, 35, 25]
1738589923.295269, [74, 40, 27]
1738589923.3286088, [70, 36, 22]
1738589923.3619492, [72, 38, 24]
1738589923.3952887, [77, 40, 30]
1738589923.4286294, [74, 40, 29]
1738589923.461969, [72, 38, 24]
1738589923.4953096, [74, 40, 27]
1738589923.5286489, [73, 39, 28]
1738589923.5619893, [70, 36, 22]
1738589923.5953288, [78, 42, 27]
1738589923.6286693, [76, 40, 25]
1738589923.6620085, [73, 39, 24]
1738589923.695349, [80, 41, 27]
1738589923.7620285, [77, 41, 28]
1738589923.7953677, [81, 44, 31]
1738589923.828708, [80, 43, 30]
1738589923.8620472, [77, 41, 28]
1738589923.8953872, [85, 44, 33]
1738589923.9287264, [80, 43, 30]
1738589923.9620664, [77, 41, 28]
1738589923.9954054, [82, 43, 31]
1738589924.0287457, [81, 42, 30]
1738589924.0620847, [79, 40, 26]
1738589924.0954247, [85, 46, 34]
1738589924.1621034, [83, 44, 33]
1738589924.1954424, [90, 49, 35]
1738589924.2287824, [82, 45, 33]
1738589924.2621214, [82, 46, 31]
1738589924.2954607, [89, 47, 34]
1738589924.3288004, [86, 45, 32]
1738589924.3621416, [86, 47, 33]
1738589924.3954813, [91, 50, 34]
1738589924.4288223, [83, 45, 31]
1738589924.462162, [87, 46, 35]
1738589924.495503, [90, 49, 35]
